TaxID;output.DNA_220525_20.22hmix_centri_BIOMcombi_S9_kaiju.out;output.DNA_220525_22.24hmix_centri_BIOMcombi_S10_kaiju.out;output.DNA_220602_20.22hmix_centri_BIOMcombi_S11_kaiju.out;output.DNA_220602_20.22hmix_cer_BIOMcombi_S13_kaiju.out;output.DNA_220602_22.24hmix_centri_BIOMcombi_S12_kaiju.out;output.DNA_220602_22.24hmix_cer_BIOMcombi_S14_kaiju.out;output.DNA_220607_20.22hmix_centri_BIOMcombi_S17_kaiju.out;output.DNA_220607_20.22hmix_cer_BIOMcombi_S15_kaiju.out;output.DNA_220607_22.24hmix_centri_BIOMcombi_S18_kaiju.out;output.DNA_220607_22.24hmix_cer_BIOMcombi_S16_kaiju.out;output.DNA_220616_20.22hmix_cer_BIOMcombi_S19_kaiju.out;output.DNA_220616_22.24hmix_cer_BIOMcombi_S20_kaiju.out;output.DNA_220623_24hmix_cer_BIOMcombi_S21_kaiju.out;output.DNA_220623_24hmix_cer_BIOMminiprep_S22_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMcombi_S25_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMminiprep_S23_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMcombi_S26_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMminiprep_S24_kaiju.out;output.DNA_220707_20.22hmix_cer_BIOMminiprep_S27_kaiju.out;output.DNA_220707_20.22mix_cer_BIOMcombi_S29_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMcombi_S30_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMminiprep_S28_kaiju.out;output.DNA_220719_20.22mix_cer_BIOMcombi_S31_kaiju.out;output.DNA_220719_22.24hmix_cer_BIOMcombi_S32_kaiju.out
226;8;11;1;13;5;6;2;1;3;5;11;4;7;5;13;7;27;3;7;7;13;14;1;1
232;7;15;10;6;5;1;4;7;1;13;7;1;10;7;17;4;17;4;5;7;12;19;NA;1
234;98;69;42;40;26;19;47;41;52;81;62;19;25;21;33;32;101;12;28;27;59;59;26;18
235;12;6;4;1;2;NA;2;1;3;5;2;1;2;2;11;NA;8;NA;2;3;5;4;1;1
237;780;760;167;905;137;587;651;178;1443;409;740;543;585;792;1553;475;2530;591;970;443;1115;1453;264;186
238;108;82;28;101;32;52;69;44;111;50;86;64;96;80;171;62;341;77;109;48;104;180;26;16
239;178;175;28;218;23;78;172;37;399;69;145;53;92;116;393;97;612;79;186;121;195;211;73;52
244;13;9;7;24;9;28;25;13;21;16;21;22;20;19;32;7;65;11;19;13;20;30;3;3
245;9;11;NA;1;1;1;11;3;16;4;10;5;5;5;11;7;24;1;11;2;10;8;7;1
247;3;6;3;25;5;7;6;8;9;4;18;13;12;17;17;10;47;8;26;7;8;22;1;3
250;23;17;13;61;10;21;20;8;34;21;21;19;37;45;46;27;137;18;32;27;34;55;12;2
251;2;NA;NA;1;NA;NA;1;NA;2;NA;NA;1;NA;NA;NA;NA;4;1;NA;NA;1;1;NA;NA
253;106;82;27;162;28;92;98;24;117;56;132;108;131;155;236;124;480;126;179;92;132;239;27;22
254;31;48;13;70;14;41;47;17;72;29;38;34;70;55;112;31;246;51;83;46;63;92;22;33
256;21;34;13;126;13;60;69;32;90;41;78;90;75;83;146;57;283;71;113;40;100;116;16;18
258;12;16;3;28;4;26;15;3;18;8;9;15;25;23;31;13;52;13;15;14;16;26;4;6
262;4;24;11;40;12;17;3;14;18;34;21;16;48;31;19;10;30;7;14;12;34;29;6;6
263;1;NA;NA;2;1;1;1;1;NA;1;2;NA;NA;1;3;1;3;NA;2;NA;7;1;NA;1
265;1650;332;107;36;34;14;40;42;42;65;214;32;46;69;41;53;122;39;64;34;59;84;75;8
266;210;139;96;145;40;74;45;53;76;75;72;50;93;108;107;82;262;69;103;46;133;174;10;10
270;7;6;3;8;2;6;5;3;9;3;7;2;7;1;6;3;9;1;8;2;3;7;NA;1
274;13;6;9;72;15;40;15;11;26;13;31;30;45;18;55;16;119;23;42;16;37;39;8;9
277;6;7;3;4;NA;5;2;2;3;3;10;2;5;1;4;6;14;3;12;3;10;12;1;NA
279;6;8;2;1;NA;NA;4;NA;4;3;3;NA;4;5;1;5;12;2;2;1;8;7;NA;NA
280;4;3;1;1;1;NA;1;2;1;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA
281;5;1;1;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA
283;926;752;1184;329;1170;95;225;166;303;322;293;139;183;145;341;175;653;178;220;233;1033;414;68;74
285;213;186;181;65;155;28;50;73;68;69;59;39;72;57;96;60;163;46;45;57;168;84;10;15
286;2809;2211;1843;1389;1512;582;664;738;867;1055;1156;633;996;837;1337;1020;2440;858;1132;733;2100;1709;196;178
287;896;861;1045;705;889;309;423;217;598;366;461;293;390;328;665;392;1384;345;778;602;1303;914;127;160
292;53;35;31;17;13;5;11;15;20;24;22;10;28;25;25;20;58;15;22;15;52;38;6;1
293;116;37;31;10;21;2;10;3;12;11;10;6;125;92;17;9;27;11;13;13;28;13;1;3
294;166;147;108;146;79;57;55;87;91;140;89;57;130;89;98;79;199;61;95;59;209;155;26;28
296;17;17;10;15;15;9;8;5;24;8;18;15;10;21;19;9;58;8;15;6;29;20;2;1
297;8;9;13;9;10;13;8;3;7;3;8;7;12;7;24;2;34;7;6;8;14;23;3;2
298;6;3;1;3;3;NA;2;NA;NA;1;2;3;2;4;NA;2;4;5;NA;NA;2;3;2;NA
300;158;137;90;67;66;26;35;25;59;34;52;28;45;51;72;63;182;57;74;56;132;119;22;11
301;266;187;173;69;126;38;44;57;51;91;72;42;81;43;100;49;209;83;73;73;173;119;17;11
303;197;247;562;670;564;220;192;60;245;93;173;62;127;129;551;93;896;76;364;730;1374;314;78;88
304;2;1;NA;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA
305;112;102;82;59;39;26;24;24;36;37;52;39;58;48;78;40;124;39;47;43;64;73;8;11
306;21;35;110;34;70;6;17;16;65;21;20;3;17;9;18;10;28;9;13;9;70;26;4;7
316;476;456;409;322;380;144;194;180;251;261;265;159;311;220;376;232;742;175;348;196;538;557;80;70
317;59;45;44;41;27;11;17;17;14;25;42;19;35;34;25;20;71;17;26;21;51;33;5;7
319;1;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
321;1;4;7;6;9;1;2;NA;1;1;4;NA;3;NA;3;1;8;NA;3;2;6;2;2;NA
323;9;2;5;NA;NA;NA;NA;NA;1;1;NA;NA;1;1;NA;3;2;NA;1;NA;NA;1;NA;1
329;74;61;43;35;32;9;18;28;18;36;22;8;67;38;55;25;72;24;27;20;80;40;3;4
337;35;27;22;10;8;5;7;5;13;18;12;6;9;6;15;13;37;10;10;8;14;12;2;NA
338;170;84;94;30;56;14;21;31;17;40;40;22;37;25;39;29;80;32;28;23;70;44;2;3
339;48;30;54;14;63;2;23;10;11;15;19;3;7;10;13;6;28;7;11;5;43;19;NA;4
343;34;18;18;8;11;2;3;5;4;9;9;2;4;7;13;6;8;5;6;3;9;6;NA;NA
346;45;15;11;7;12;2;4;5;4;6;10;2;5;2;12;4;25;5;11;1;13;11;2;NA
347;7;14;6;4;5;NA;2;2;3;2;2;NA;6;3;6;4;6;2;4;5;6;6;1;NA
349;125;29;14;4;6;1;2;NA;6;3;11;NA;3;4;6;2;8;1;5;4;24;12;2;2
350;974;218;119;16;40;8;24;9;34;18;37;NA;6;14;19;7;33;13;3;9;128;80;10;8
351;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
352;37;28;31;15;17;5;5;13;12;18;41;12;16;8;14;13;34;14;11;9;12;17;1;3
353;101;60;111;38;183;17;24;14;31;36;43;25;36;27;32;30;69;25;15;18;86;43;8;6
354;25;24;8;17;6;6;9;7;13;9;15;8;14;13;25;21;57;16;27;6;26;43;4;2
356;893;461;235;185;119;61;90;128;153;182;159;107;159;136;192;125;417;82;136;90;218;194;42;43
357;51;32;31;15;30;4;10;18;26;19;12;11;16;8;30;10;42;14;10;10;20;14;3;4
358;238;188;129;100;90;47;62;57;87;79;94;48;87;75;132;75;251;65;118;79;180;154;23;24
359;84;51;48;33;27;16;26;31;34;34;49;21;29;40;61;42;120;34;30;25;54;50;11;8
373;80;71;40;40;26;15;12;21;22;27;18;15;29;13;32;33;65;22;22;16;48;24;7;2
374;140;158;98;73;53;29;35;36;35;64;43;17;76;78;78;66;132;49;63;33;100;67;5;9
375;53;40;23;30;27;8;16;16;28;32;27;16;27;19;37;15;43;9;20;13;36;22;5;7
376;6;1;2;3;3;NA;NA;4;5;1;2;2;5;2;2;5;4;1;2;3;3;5;NA;1
379;249;114;72;69;41;33;32;36;49;43;72;33;64;42;71;49;144;49;52;38;91;79;18;11
380;44;45;31;29;13;12;19;12;13;11;24;14;32;14;41;20;81;20;34;19;33;45;4;7
381;14;18;14;8;5;1;9;7;2;10;8;5;3;8;10;9;20;2;12;12;23;20;2;1
382;233;221;129;142;89;73;80;115;143;156;129;85;173;104;180;121;376;87;118;81;218;227;24;29
384;176;133;98;60;71;41;42;41;60;91;55;32;77;64;115;62;191;67;55;55;125;103;17;11
391;121;78;41;21;13;6;15;15;10;28;18;6;19;26;24;21;62;16;17;15;49;39;5;2
394;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA
396;2;3;2;4;2;NA;1;2;NA;2;2;NA;1;NA;2;1;1;1;NA;NA;4;NA;1;NA
398;1;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA
399;59;46;39;16;11;9;2;12;14;28;18;8;14;21;14;17;29;16;15;13;35;21;2;3
403;22;12;8;5;2;3;10;2;6;4;4;4;7;1;9;3;12;5;6;6;9;8;1;3
405;45;17;11;3;3;2;1;4;6;3;4;NA;3;NA;2;5;9;4;2;2;6;3;NA;NA
406;4;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA;1;NA;2;NA;1;1;NA;NA;NA;NA
407;57;34;36;26;15;12;4;20;19;27;12;12;30;19;34;22;35;18;18;12;47;31;3;3
408;18;24;15;8;9;2;5;9;3;7;7;2;9;6;10;2;12;7;9;7;6;10;2;1
409;6;14;3;8;6;11;9;6;14;10;14;7;17;17;23;17;52;13;28;13;12;18;2;1
410;14;7;9;1;4;NA;3;1;2;4;4;1;42;10;4;7;11;7;1;6;4;3;NA;NA
414;10;7;3;21;2;3;14;3;12;7;9;8;52;21;19;10;48;6;6;4;16;23;2;3
415;20;10;13;3;6;NA;1;5;NA;7;4;2;4;6;4;3;14;2;2;5;2;NA;NA;NA
